recipient,amount
LodeuWMHPiPj2PUHUyca2bkpFv9HyzR3gaDBmGJ9TSS,242633018734119
LitcF5EKEMQQnqhcryjRtoaxeuSwM2jN7tAD9zFxBYm,997717120
F1TRgPXnrcBvs8tG6mrF4JbxuGBxS9Q6qN5Hvb9XBzUY,33851548237287
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,946389228346600
7cJB452VqXe5pM9f6YKcTziWmoHE9Tg4jNWTCpohFiAH,21006133006266
9tV89mr1HprxxVDvAGJJzCeEu6xh9iL1Z1VcEbtxkc9E,4545916708902
CUiZxS8SHi7JTpxVkdeNTBHY5vXLfGawUBHrzFRfpmTv,1726952002078
HS8DF8wP3A8qSHPnzbE6pSvXub4FeZQ6xMNSJuqArAHS,32812150807365
CJtJMo1bwttF5nq2noEk8YbbUikXWWAHtEYuqVbtNen2,31864385648609
GtpcBib8a8AJAaryYict5s4igHCfvoCM9qVSXTK1scyx,38389670302343
sce3PzrJU8j5Qa7WtRejXq7hFywUBh8jutVx929Hagw,51320996435494
7U68WfpxJF5W1HjVQ2NCQr5EuKhNSvSRAnmWTk6225Jf,28033172557721
3D31JtXceje3h2QQynhDnZ1b54oY38rMoJBnFtGdBz59,25120884292682
GGRsVQ5fm7GdawVZmBT2tY9Vsg7mw3YKDwFbofqfSmw7,142611224832060
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,188291360329640
4pc3MP7VM6J7HF7B4TF3NRhP6ayExjcitiAb8wB63Jvi,30496021226416
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,2502395551696824
3oCmL3sHYpoCehksyx1zfsubhgnGmtdJi3n7e7auaA9y,1097717120
7Lp6sJYnJL2p33oPshdfAx5FSvYDFYRpng2gHJDTEQeN,31808007032780
6XjxbDk9epumcbnsq35NVGytzb5b9aHPodWpNnfUKaC5,30522240806276
6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg,51483477947184
4PeGtW7j4Fceg35WTXk7FLo4rE4pP8FHF2EytRezk9bY,32720903599283
5xPCeFofDqxXYWmKDHZRMaFdx9BNGAb3RSZtMPny46BC,29839481591601
4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n,340123480511236
hN6om5PAp87yuy5UcVbwn5fXhWF3pEJcarFGXe4c6XQ,29786619043209
7XSCAfoJ11zrQxonjbGZHLUL8tqpF7yhkxiieLds9mdH,54905765352273
DzLjgYbBhDN8RrWks2wjdCXgZ1Ez9QLBMDnM5hV4n19H,31434628769644
CVQa1LJVLfcPJWezjcnQ2F8ByUvwLdcSPYjfjxEVyMqB,1000000
D9LzkzWYBMnJX5FycaACA6t5DHjnK9oS2hFXxKW8AmvQ,14792860649318
gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,166242229049846
4zsArzr9cCAiBuGA3yGbxFtYw73eMgnaLS8q4hjpwMxH,39157057041723
DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,3092019544196941
7DWfjmZtryurJtUrpyALuuGqby2tjPzMjZL6vL7ujRBk,35230898696105
AWqkGtq9rgpMDc7pTKe62aJuaX8ZvrnZxCpr8nfpDSCK,31838983525461
FZg9duNJfiSDCPnbphbcKrucFRiLNpjDsdZMAa8HjPtx,29804026723249
Bbh5vzp4c7bToLP9pNc1dSn8gF1pBGbeytzzraURZe1q,2304238556940
4sSo8aDVcZpiVXHZoksDTFzXHNk9yJRRzjDuvza8wHBG,29705415957769
AYNvSS5XV23ezdUBUzMjrZoGpmDibADE7P3edS4wNKAv,22387000235152
4wHiE1xxqbHmdPTwPqJVWnGESsMPpnGNQxMDC3DB3RtM,36378567228546
BhwrctpZCQqwZHFHhgsnZkZG3btSwAg5aBtDPVDzQriG,151589022114295
8MuGDCx6q7fEz52yoHoiDby4TEVJncYuWCGAjCWSrtPx,688543416140
DBKSEwzFx3i64censdCm7v95Ujp2sFfMtksBACkET2Kh,36578192502143
DSRVdh9PQaqAcFtMCbJhyD4yMD5H2EeHNzdbqWctRY4E,37299574163512
ErnUUo8z4fjEteEBmBp952x41TMLUMsFcrUmtpBiXx2e,3325591246539
HypKQcad9VesDa3d2HvV6nF54dXWGf3JDJ6maBcCdsfK,38792530312919
AsMpvJ3DZ2Ydu1WTRMAyMH4QjSLiUG39rKzfzvtE1bWr,253661271578268
Bi8MhxRtneEwv4c8W2v8JE3zn3QdtMeUCUuiuLAk5Ht7,2445550487941
Bcqj166FBupEcPNwicCwPjWTKHaCpT1B8aFkbFZkBw59,3804533579367
ESNarF7DFmuWEfw8sd2A9uzjWxGuaF3BU8GBiszW9pft,32136916670588
3DQYd2XcoFiKim2Q6bEQEx91jnjyX6oNiG3C7gEHvEko,65734982754275
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,3287528009347548
9hrba377Zj79CXruwGWuorFpGVcYXJHqpQNUjRZErGn3,31875221024142
AqfUYAFPXs3tUf5vTJuhiV2WontcWLAZwsKQPHKjpqNR,3661518757415
6NmKxzGAdJ9ttewC8hwJEFaJdn4GScjpqimaL5BnbWgx,3018267719978
CLdRznGdzSXqpAu3SNbYiaiXeDfbe3hJ7ZikFKybsSdX,33907539998211
4Kbcyn7JVPAWLRLPsNGTPmcNMvCkLTw51ZLRhqsUC6jP,38535242704878
3Jxn6NS72re3AMEq6ahmSQF8mfMvrCErJbtH9rSRKF6Q,34859363311214
AswkbUbQZz4guf3Ex45LFPgnSzFjsGumLCaHd142cmmx,223405545944535
CFeXt8sBqgagHSkbsPfw9MpbffmxwBVKp6Jdjc8yACeQ,33401679432943
sce1TVNf6tBniHXqhkj7NY9wxaBsoQrpXKzfYXBG9v2,51301925860000
3jCvPwj2BmKsHaPBdkfEnTcKGtLNb6b7rQV5ZSnp2bpr,35366312473789
4VzD3vmbydV8kCFsJrcfd86bU7ea8VdGjwxqUaPAaoPc,29382360140947
JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,1616953680747787
9xsgKAU3pyKZZddPXdh5wLRqjdw2Fc93BL41JszhEpZz,57061175076925
C64HQzVeuUakYPTFAbKsrhmzSiQYJDKtE8B3A1bDGrqG,39885418384488
9bZMAtgfcbaPrDC2kh7vi9DmQVSzPD7qWkLokc1kAQAy,36985952242175
9obi1wz8nd2YPZ4cX8P8sH2pkRWe9btMHHKa3tjEhamQ,27000704485979
GbEV1RH2cGDWLXXUEFJ8ryP3B1guHjkQ5LPkhes8BsME,29797302633146
8quzaRSxgKQr5HaxcLHXk4JqqMhb2J4PGokqjzy1MFDj,160891356832143
4X8km6XmBSk5NK2LfiqrcwxzXYSh8KiVUjdZxe3bzWKL,35728201582297
21kDnqA1p9dbiuKwvofPdQ7fBKwESnXhCS19wx6r7QPc,4316681799427
5ycPWdZPBarrBM8KMUJdFEpyGXnyu94DAqWbqKVo7uJu,3741968191333
AR6GivLAoCNmGtqcyUUVQckTTSzXXvjp4V4Ar2J9gFb7,4467453919294
C4bgengueVA9cRcprjutgu9XgvgoaaFnCqvpZaPy27xx,250204544851502
DZdEsncQ6Kn3qxBeCiG9ubAYiQJ6kRZohyKXq3KBYt7w,29913803418220
8TmL4ympgFZJb5xeeEDcT82UAkZRBmZY72qzTMXJR29D,36380479991901
D91hS1rccFa5idPr9TpWmhPxfyJCtzHaet2juYzQNrPC,2397893479942
EydLxzdWfD434DDxZYXkTcajvK5VKH7p6CofEDCRUkJ4,173983851919461
BDQ9aAm4xJkkCALkcpFhZc4azz1okLnWij27V8vwP8Yq,29802770515731
